time,course,instructor,semester,observation,year,Student.AnsweringQuestion,Student.AskingQuestion,Instructor.AskingClickerQuestion,Instructor.GivingFeedback,Instructor.Lecturing,Instructor.WritingOnBoard,Instructor.MovingThroughGroup,Students.GroupWork,EffectSize.StudentPerformance
36,32,U,1,3,3,0,0,0,0,1,0,0,0,1.09
38,32,U,1,3,3,0,0,0,0,1,0,0,0,1.09
40,32,U,1,3,3,0,0,0,0,1,1,0,0,1.09
42,32,U,1,3,3,0,0,0,0,1,1,0,0,1.09
44,32,U,1,3,3,0,0,0,0,1,0,0,0,1.09
46,32,U,1,3,3,0,0,0,0,1,0,0,0,1.09
2,33,V,2,1,3,0,0,0,0,1,0,0,0,1.01
4,33,V,2,1,3,0,0,0,0,1,0,0,0,1.01
6,33,V,2,1,3,1,0,0,0,1,0,0,0,1.01
8,33,V,2,1,3,0,0,0,1,1,0,0,0,1.01
10,33,V,2,1,3,0,0,0,0,1,0,0,0,1.01
12,33,V,2,1,3,0,1,0,0,1,0,0,0,1.01
14,33,V,2,1,3,1,0,0,0,1,0,0,0,1.01
16,33,V,2,1,3,0,0,0,0,1,0,0,0,1.01
18,33,V,2,1,3,1,0,0,0,1,0,0,0,1.01
20,33,V,2,1,3,1,0,0,0,1,0,0,0,1.01
22,33,V,2,1,3,0,0,0,0,1,0,0,0,1.01
24,33,V,2,1,3,0,0,0,0,1,0,0,0,1.01
26,33,V,2,1,3,0,0,0,1,0,0,0,0,1.01
28,33,V,2,1,3,0,1,0,0,1,0,0,0,1.01
30,33,V,2,1,3,1,0,0,0,1,0,0,0,1.01
32,33,V,2,1,3,0,0,0,0,1,0,0,0,1.01
34,33,V,2,1,3,0,0,0,0,1,0,0,0,1.01
36,33,V,2,1,3,1,0,0,0,1,0,0,0,1.01
38,33,V,2,1,3,0,0,0,0,1,0,0,0,1.01
40,33,V,2,1,3,0,0,0,0,1,0,0,0,1.01
42,33,V,2,1,3,0,0,0,0,1,0,0,0,1.01
44,33,V,2,1,3,1,0,0,0,1,0,0,0,1.01
46,33,V,2,1,3,0,0,0,1,0,0,0,0,1.01
48,33,V,2,1,3,0,0,0,0,1,0,0,0,1.01
2,33,V,2,2,3,0,0,0,0,0,0,0,0,1.01
4,33,V,2,2,3,0,0,0,0,0,0,0,0,1.01
6,33,V,2,2,3,0,0,0,0,1,0,0,0,1.01
8,33,V,2,2,3,0,0,0,0,1,0,0,0,1.01
10,33,V,2,2,3,0,0,0,0,1,0,0,0,1.01
12,33,V,2,2,3,0,0,0,0,1,0,0,0,1.01
14,33,V,2,2,3,1,0,0,0,1,0,0,0,1.01
16,33,V,2,2,3,1,0,0,1,1,0,0,0,1.01
18,33,V,2,2,3,1,0,0,0,1,0,0,0,1.01
20,33,V,2,2,3,1,0,0,0,1,0,0,0,1.01
22,33,V,2,2,3,0,1,0,1,1,0,0,0,1.01
24,33,V,2,2,3,0,0,0,0,1,0,0,0,1.01
26,33,V,2,2,3,0,0,0,0,1,0,0,0,1.01
28,33,V,2,2,3,0,0,0,0,1,0,0,0,1.01
30,33,V,2,2,3,0,0,0,0,1,0,0,0,1.01
32,33,V,2,2,3,0,1,0,0,1,0,0,0,1.01
34,33,V,2,2,3,0,0,0,0,1,0,0,0,1.01
36,33,V,2,2,3,0,0,0,0,1,0,0,0,1.01
38,33,V,2,2,3,0,0,0,0,1,0,0,0,1.01
40,33,V,2,2,3,0,1,0,0,1,0,0,0,1.01
42,33,V,2,2,3,0,0,0,0,1,0,0,0,1.01
44,33,V,2,2,3,0,0,0,0,1,0,0,0,1.01
46,33,V,2,2,3,0,0,0,0,1,0,0,0,1.01
48,33,V,2,2,3,0,0,0,0,1,0,0,0,1.01
2,33,V,2,3,3,0,0,0,0,0,0,0,0,1.01
4,33,V,2,3,3,0,0,0,0,1,0,0,0,1.01
6,33,V,2,3,3,0,0,0,0,1,0,0,0,1.01
8,33,V,2,3,3,1,0,0,0,1,0,0,0,1.01
10,33,V,2,3,3,0,0,0,0,1,0,0,0,1.01
12,33,V,2,3,3,0,0,0,0,1,0,0,0,1.01
14,33,V,2,3,3,0,0,0,0,1,0,0,0,1.01
16,33,V,2,3,3,0,0,0,0,1,0,0,0,1.01
18,33,V,2,3,3,1,0,0,0,1,0,0,0,1.01
20,33,V,2,3,3,0,1,0,0,1,0,0,0,1.01
22,33,V,2,3,3,0,0,0,0,1,0,0,0,1.01
24,33,V,2,3,3,1,0,0,0,1,0,0,0,1.01
26,33,V,2,3,3,0,0,0,1,0,0,0,0,1.01
28,33,V,2,3,3,0,1,0,0,1,0,0,0,1.01
30,33,V,2,3,3,0,0,0,0,1,0,0,0,1.01
32,33,V,2,3,3,0,0,0,0,1,0,0,0,1.01
34,33,V,2,3,3,0,0,0,0,1,0,0,0,1.01
36,33,V,2,3,3,0,0,0,0,1,0,0,0,1.01
38,33,V,2,3,3,0,0,0,0,1,0,0,0,1.01
40,33,V,2,3,3,0,0,0,0,1,0,0,0,1.01
42,33,V,2,3,3,1,0,0,0,1,0,0,0,1.01
44,33,V,2,3,3,1,0,0,0,1,0,0,0,1.01
46,33,V,2,3,3,0,0,0,0,1,0,0,0,1.01
48,33,V,2,3,3,0,0,0,0,1,0,0,0,1.01
2,33,V,2,4,3,0,0,1,0,1,0,0,1,1.01
4,33,V,2,4,3,0,0,1,1,0,0,0,1,1.01
6,33,V,2,4,3,0,1,0,1,1,0,0,0,1.01
8,33,V,2,4,3,0,0,0,0,1,0,0,0,1.01
10,33,V,2,4,3,0,1,1,0,1,0,0,1,1.01
12,33,V,2,4,3,1,0,1,1,0,0,0,1,1.01
14,33,V,2,4,3,1,0,0,1,0,0,0,0,1.01
16,33,V,2,4,3,0,1,0,1,1,0,0,0,1.01
18,33,V,2,4,3,0,0,0,0,1,0,0,0,1.01
20,33,V,2,4,3,1,0,0,0,1,0,0,0,1.01
22,33,V,2,4,3,0,0,1,0,1,0,0,1,1.01
24,33,V,2,4,3,0,0,1,1,1,0,0,1,1.01
26,33,V,2,4,3,0,0,0,0,1,0,0,0,1.01
28,33,V,2,4,3,0,0,0,0,1,0,0,0,1.01
30,33,V,2,4,3,0,0,0,0,1,0,0,0,1.01
32,33,V,2,4,3,0,0,0,0,1,0,0,0,1.01
34,33,V,2,4,3,0,0,1,0,1,0,0,1,1.01
36,33,V,2,4,3,0,0,1,1,0,0,0,1,1.01
38,33,V,2,4,3,1,0,1,1,0,0,0,1,1.01
40,33,V,2,4,3,0,1,0,1,1,0,0,0,1.01
42,33,V,2,4,3,0,1,1,0,1,0,0,1,1.01
44,33,V,2,4,3,0,0,1,1,1,0,0,1,1.01
46,33,V,2,4,3,0,0,0,0,1,0,0,0,1.01
2,33,V,2,5,3,0,0,0,0,1,0,0,0,1.01
4,33,V,2,5,3,0,0,0,0,1,0,0,0,1.01
6,33,V,2,5,3,0,0,0,0,1,0,0,0,1.01
8,33,V,2,5,3,1,0,0,0,1,0,0,0,1.01
10,33,V,2,5,3,0,0,0,0,1,0,0,0,1.01
12,33,V,2,5,3,0,0,1,1,0,0,0,1,1.01
14,33,V,2,5,3,1,0,0,0,1,0,0,0,1.01
16,33,V,2,5,3,0,0,0,0,1,0,0,0,1.01
18,33,V,2,5,3,0,1,0,0,1,0,0,0,1.01
20,33,V,2,5,3,0,0,0,0,1,0,0,0,1.01
22,33,V,2,5,3,0,0,1,0,1,0,0,1,1.01
24,33,V,2,5,3,1,0,1,1,0,0,0,1,1.01
26,33,V,2,5,3,0,0,0,1,0,0,0,0,1.01
28,33,V,2,5,3,0,0,0,0,1,0,0,0,1.01
30,33,V,2,5,3,1,0,0,0,1,0,0,0,1.01
32,33,V,2,5,3,0,0,0,0,1,0,0,0,1.01
34,33,V,2,5,3,0,0,0,0,1,0,0,0,1.01
36,33,V,2,5,3,0,0,1,0,0,0,0,1,1.01
38,33,V,2,5,3,0,0,1,1,0,0,0,1,1.01
40,33,V,2,5,3,0,0,0,0,1,0,0,0,1.01
42,33,V,2,5,3,0,0,0,0,1,0,0,0,1.01
44,33,V,2,5,3,0,0,0,0,1,0,0,0,1.01
46,33,V,2,5,3,0,0,0,0,1,0,0,0,1.01
2,41,W,1,1,4,0,0,0,0,0,0,0,0,0.65
4,41,W,1,1,4,0,0,0,0,0,0,0,0,0.65
6,41,W,1,1,4,0,0,0,0,0,0,0,0,0.65
8,41,W,1,1,4,0,0,0,0,0,0,0,0,0.65
10,41,W,1,1,4,0,0,0,0,0,0,0,0,0.65
12,41,W,1,1,4,0,0,0,0,0,0,0,0,0.65
14,41,W,1,1,4,0,0,0,0,0,0,0,0,0.65
16,41,W,1,1,4,0,0,0,0,0,0,0,0,0.65
18,41,W,1,1,4,0,0,0,0,0,0,0,0,0.65
20,41,W,1,1,4,0,0,0,0,0,0,0,0,0.65
22,41,W,1,1,4,0,0,0,0,0,0,0,0,0.65
24,41,W,1,1,4,0,0,0,0,0,0,1,1,0.65
26,41,W,1,1,4,0,0,0,0,0,0,1,1,0.65
28,41,W,1,1,4,0,0,0,0,0,0,1,1,0.65
30,41,W,1,1,4,0,0,0,0,0,0,1,1,0.65
32,41,W,1,1,4,0,0,0,0,0,0,0,0,0.65
34,41,W,1,1,4,0,0,0,0,0,0,0,0,0.65
36,41,W,1,1,4,0,0,0,0,0,0,0,0,0.65
38,41,W,1,1,4,0,0,0,0,0,0,0,0,0.65
40,41,W,1,1,4,0,0,0,0,0,0,0,0,0.65
42,41,W,1,1,4,0,0,0,0,0,0,0,0,0.65
44,41,W,1,1,4,1,0,0,1,0,1,0,0,0.65
46,41,W,1,1,4,1,0,0,1,0,1,0,0,0.65
2,41,W,1,2,4,0,0,0,0,1,1,0,0,0.65
4,41,W,1,2,4,0,0,0,0,1,1,0,0,0.65
6,41,W,1,2,4,0,0,0,0,1,0,0,0,0.65
8,41,W,1,2,4,0,0,0,0,1,0,0,0,0.65
10,41,W,1,2,4,0,0,1,0,1,0,0,0,0.65
12,41,W,1,2,4,1,0,1,1,0,0,0,0,0.65
14,41,W,1,2,4,1,0,0,1,0,0,0,0,0.65
16,41,W,1,2,4,1,1,0,1,0,0,0,0,0.65
18,41,W,1,2,4,1,1,0,1,0,0,0,0,0.65
20,41,W,1,2,4,1,0,0,1,0,1,0,0,0.65
22,41,W,1,2,4,1,0,0,1,0,1,0,0,0.65
24,41,W,1,2,4,1,0,0,1,0,1,0,0,0.65
26,41,W,1,2,4,1,0,0,1,0,1,0,0,0.65
28,41,W,1,2,4,1,0,0,1,0,1,0,0,0.65
30,41,W,1,2,4,0,1,0,1,0,0,0,0,0.65
32,41,W,1,2,4,1,1,0,1,0,1,0,0,0.65
34,41,W,1,2,4,0,0,0,1,0,0,0,0,0.65
36,41,W,1,2,4,0,0,0,0,0,0,0,0,0.65
38,41,W,1,2,4,0,0,0,0,0,0,0,0,0.65
40,41,W,1,2,4,0,1,0,0,0,0,0,0,0.65
42,41,W,1,2,4,0,1,0,0,0,1,0,0,0.65
44,41,W,1,2,4,0,0,0,0,0,0,0,0,0.65
46,41,W,1,2,4,0,0,0,0,1,0,0,0,0.65
48,41,W,1,2,4,0,0,0,0,1,0,0,0,0.65
2,41,W,1,3,4,0,0,0,0,0,0,0,0,0.65
4,41,W,1,3,4,0,0,0,0,0,0,0,0,0.65
6,41,W,1,3,4,0,0,0,0,1,0,0,0,0.65
8,41,W,1,3,4,0,0,0,0,0,0,0,0,0.65
10,41,W,1,3,4,0,0,0,0,0,0,0,0,0.65
12,41,W,1,3,4,0,0,0,0,0,0,0,0,0.65
14,41,W,1,3,4,0,0,0,0,0,0,0,0,0.65
16,41,W,1,3,4,0,0,0,0,0,0,0,0,0.65
18,41,W,1,3,4,0,0,0,0,0,0,0,0,0.65
20,41,W,1,3,4,0,0,0,0,0,0,0,0,0.65
22,41,W,1,3,4,0,0,0,0,0,0,0,0,0.65
24,41,W,1,3,4,0,0,0,0,0,0,0,0,0.65
26,41,W,1,3,4,1,1,0,0,0,0,0,0,0.65
28,41,W,1,3,4,1,1,0,0,0,0,0,0,0.65
30,41,W,1,3,4,1,1,0,0,0,0,0,0,0.65
32,41,W,1,3,4,1,0,0,0,0,0,0,0,0.65
34,41,W,1,3,4,0,0,0,0,0,0,0,0,0.65
36,41,W,1,3,4,0,0,0,0,0,0,0,0,0.65
38,41,W,1,3,4,0,0,0,0,0,0,0,0,0.65
40,41,W,1,3,4,1,1,0,0,0,0,0,0,0.65
42,41,W,1,3,4,1,1,0,0,0,0,0,0,0.65
44,41,W,1,3,4,1,0,0,1,0,1,0,0,0.65
46,41,W,1,3,4,1,0,0,1,0,1,0,0,0.65
48,41,W,1,3,4,1,0,0,1,0,0,0,0,0.65
2,42,X,1,1,4,0,0,0,0,0,0,0,0,0.4
4,42,X,1,1,4,0,0,0,0,0,0,0,0,0.4
6,42,X,1,1,4,0,0,0,0,0,0,0,0,0.4
8,42,X,1,1,4,0,0,0,0,0,0,0,0,0.4
10,42,X,1,1,4,0,0,0,0,0,0,0,0,0.4
12,42,X,1,1,4,1,0,0,1,0,0,0,0,0.4
14,42,X,1,1,4,1,0,0,1,0,0,0,0,0.4
16,42,X,1,1,4,1,1,0,1,0,0,0,0,0.4
18,42,X,1,1,4,1,0,0,1,0,0,0,0,0.4
20,42,X,1,1,4,0,0,0,0,0,0,0,0,0.4
22,42,X,1,1,4,1,1,0,1,0,0,0,0,0.4
24,42,X,1,1,4,1,0,0,1,0,0,0,0,0.4
26,42,X,1,1,4,1,1,0,1,0,0,0,0,0.4
28,42,X,1,1,4,0,1,0,1,0,0,0,0,0.4
30,42,X,1,1,4,1,1,0,1,0,0,0,0,0.4
32,42,X,1,1,4,1,1,0,1,0,0,0,0,0.4
34,42,X,1,1,4,1,0,0,1,0,0,0,0,0.4
36,42,X,1,1,4,1,1,0,1,0,0,0,0,0.4
38,42,X,1,1,4,1,1,0,1,0,0,0,0,0.4
40,42,X,1,1,4,0,0,0,1,0,0,0,0,0.4
42,42,X,1,1,4,0,0,0,1,0,0,0,0,0.4
44,42,X,1,1,4,1,0,0,1,0,0,0,0,0.4
46,42,X,1,1,4,0,0,0,1,0,0,0,0,0.4
48,42,X,1,1,4,0,1,0,1,0,0,0,0,0.4
2,42,X,1,2,4,0,0,0,0,0,0,0,0,0.4
4,42,X,1,2,4,0,0,0,0,0,0,0,0,0.4
6,42,X,1,2,4,0,0,0,0,0,0,0,0,0.4
8,42,X,1,2,4,0,0,0,0,0,0,0,0,0.4
10,42,X,1,2,4,0,0,0,0,0,0,0,0,0.4
12,42,X,1,2,4,0,0,0,0,0,0,0,0,0.4
14,42,X,1,2,4,0,0,0,0,0,0,0,0,0.4
16,42,X,1,2,4,0,0,0,0,0,0,0,0,0.4
18,42,X,1,2,4,0,1,0,1,0,0,0,0,0.4
20,42,X,1,2,4,1,1,0,1,0,0,0,0,0.4
22,42,X,1,2,4,0,0,0,1,0,0,0,0,0.4
24,42,X,1,2,4,0,0,0,0,0,0,0,0,0.4
26,42,X,1,2,4,0,0,0,0,0,0,0,0,0.4
28,42,X,1,2,4,0,0,0,0,0,0,0,0,0.4
30,42,X,1,2,4,0,0,0,0,0,0,0,0,0.4
32,42,X,1,2,4,0,0,0,0,0,0,0,0,0.4
34,42,X,1,2,4,0,1,0,1,0,0,0,0,0.4
36,42,X,1,2,4,1,0,0,1,0,0,0,0,0.4
38,42,X,1,2,4,0,0,0,1,0,0,0,0,0.4
40,42,X,1,2,4,1,1,0,1,0,0,0,0,0.4
42,42,X,1,2,4,1,1,0,1,0,0,0,0,0.4
44,42,X,1,2,4,0,0,0,0,0,0,0,0,0.4
46,42,X,1,2,4,0,0,0,0,0,0,0,0,0.4
48,42,X,1,2,4,0,0,0,0,0,0,0,0,0.4
50,42,X,1,2,4,0,0,0,0,0,0,0,0,0.4
2,42,X,1,3,4,1,0,0,0,0,0,0,0,0.4
4,42,X,1,3,4,1,0,0,0,1,0,0,0,0.4
6,42,X,1,3,4,1,0,0,0,1,0,0,0,0.4
8,42,X,1,3,4,1,1,0,1,1,0,0,0,0.4
10,42,X,1,3,4,1,0,0,0,1,0,0,0,0.4
12,42,X,1,3,4,1,0,0,0,1,0,0,0,0.4
14,42,X,1,3,4,0,0,0,0,1,0,0,0,0.4
16,42,X,1,3,4,1,0,0,0,1,0,0,0,0.4
18,42,X,1,3,4,0,1,0,0,1,0,0,0,0.4
20,42,X,1,3,4,1,0,0,0,1,0,0,0,0.4
22,42,X,1,3,4,1,0,0,0,1,0,0,0,0.4
24,42,X,1,3,4,1,0,0,1,1,0,0,0,0.4
26,42,X,1,3,4,1,1,0,0,1,0,0,0,0.4
28,42,X,1,3,4,1,1,0,0,1,0,0,0,0.4
30,42,X,1,3,4,1,0,0,1,0,0,0,0,0.4
32,42,X,1,3,4,1,0,0,1,0,0,0,0,0.4
34,42,X,1,3,4,0,0,0,1,1,0,0,0,0.4
36,42,X,1,3,4,1,0,0,1,1,0,0,0,0.4
38,42,X,1,3,4,1,1,0,1,1,0,0,0,0.4
40,42,X,1,3,4,1,0,0,1,1,0,0,0,0.4
42,42,X,1,3,4,0,0,0,0,0,0,1,1,0.4
44,42,X,1,3,4,0,0,0,0,0,0,1,1,0.4
46,42,X,1,3,4,1,0,0,1,0,0,1,1,0.4
48,42,X,1,3,4,1,1,0,1,0,0,0,0,0.4
50,42,X,1,3,4,0,1,0,1,1,0,0,0,0.4
2,43,Y,2,1,4,0,0,0,0,1,0,0,0,0.62
4,43,Y,2,1,4,1,0,0,1,1,0,0,0,0.62
6,43,Y,2,1,4,0,0,0,0,0,1,1,1,0.62
8,43,Y,2,1,4,1,0,0,1,0,1,1,1,0.62
10,43,Y,2,1,4,1,0,0,1,0,1,0,0,0.62
12,43,Y,2,1,4,1,1,0,1,0,1,0,0,0.62
14,43,Y,2,1,4,0,1,0,1,0,1,0,0,0.62
16,43,Y,2,1,4,1,0,0,1,0,1,0,0,0.62
18,43,Y,2,1,4,0,0,0,0,1,0,0,0,0.62
20,43,Y,2,1,4,0,0,0,0,1,0,0,0,0.62
22,43,Y,2,1,4,0,0,0,0,1,1,0,0,0.62
24,43,Y,2,1,4,0,0,0,0,0,1,1,1,0.62
26,43,Y,2,1,4,0,0,0,0,0,0,1,1,0.62
28,43,Y,2,1,4,0,0,0,0,0,0,1,1,0.62
30,43,Y,2,1,4,1,0,0,1,0,0,1,1,0.62
32,43,Y,2,1,4,1,0,0,1,0,0,0,0,0.62
34,43,Y,2,1,4,1,0,0,1,0,0,0,1,0.62
36,43,Y,2,1,4,0,0,0,0,0,0,1,1,0.62
38,43,Y,2,1,4,0,0,0,0,0,0,1,1,0.62
40,43,Y,2,1,4,1,0,0,1,0,0,0,0,0.62
42,43,Y,2,1,4,1,0,0,1,0,0,0,0,0.62
44,43,Y,2,1,4,1,1,0,1,0,0,0,0,0.62
46,43,Y,2,1,4,0,0,0,1,1,0,0,0,0.62
2,43,Y,2,2,4,0,0,0,0,1,0,0,0,0.62
4,43,Y,2,2,4,0,0,0,0,0,0,1,1,0.62
6,43,Y,2,2,4,0,0,0,0,0,0,1,1,0.62
8,43,Y,2,2,4,0,0,0,0,0,0,1,1,0.62
10,43,Y,2,2,4,0,0,0,0,0,0,1,1,0.62
12,43,Y,2,2,4,0,0,0,0,0,0,1,1,0.62
14,43,Y,2,2,4,0,0,0,0,0,0,1,1,0.62
16,43,Y,2,2,4,0,0,0,0,0,0,1,1,0.62
18,43,Y,2,2,4,0,0,0,0,0,0,0,0,0.62
20,43,Y,2,2,4,0,0,0,0,0,0,0,0,0.62
22,43,Y,2,2,4,0,1,0,0,0,0,0,0,0.62
24,43,Y,2,2,4,0,1,0,1,0,0,0,0,0.62
26,43,Y,2,2,4,0,0,0,1,0,0,0,0,0.62
28,43,Y,2,2,4,0,0,0,1,0,1,0,0,0.62
30,43,Y,2,2,4,0,0,0,1,0,1,0,0,0.62
32,43,Y,2,2,4,0,0,0,1,0,1,0,0,0.62
34,43,Y,2,2,4,0,0,0,1,0,1,0,0,0.62
36,43,Y,2,2,4,0,0,0,0,1,0,0,0,0.62
38,43,Y,2,2,4,1,0,0,0,1,0,0,0,0.62
40,43,Y,2,2,4,0,0,0,0,0,0,1,1,0.62
42,43,Y,2,2,4,0,0,0,0,0,0,1,1,0.62
44,43,Y,2,2,4,0,0,0,0,0,0,1,1,0.62
46,43,Y,2,2,4,1,0,0,1,0,0,1,1,0.62
48,43,Y,2,2,4,1,0,0,1,0,0,0,0,0.62
50,43,Y,2,2,4,1,0,0,1,0,0,0,0,0.62
2,43,Y,2,3,4,1,0,0,0,0,0,0,0,0.62
4,43,Y,2,3,4,1,0,0,0,1,0,0,0,0.62
6,43,Y,2,3,4,0,1,0,0,0,0,1,1,0.62
8,43,Y,2,3,4,0,0,0,0,1,0,1,1,0.62
10,43,Y,2,3,4,0,1,0,0,0,0,1,1,0.62
12,43,Y,2,3,4,1,0,0,1,0,1,0,0,0.62
14,43,Y,2,3,4,0,0,0,0,0,0,1,1,0.62
16,43,Y,2,3,4,0,0,0,0,0,0,1,0,0.62
18,43,Y,2,3,4,0,0,0,1,0,1,0,0,0.62
20,43,Y,2,3,4,0,1,0,0,1,0,0,0,0.62
22,43,Y,2,3,4,0,1,0,0,0,0,1,1,0.62
24,43,Y,2,3,4,0,0,0,0,0,0,1,0,0.62
26,43,Y,2,3,4,0,0,0,1,0,0,1,1,0.62
28,43,Y,2,3,4,0,0,0,1,0,0,1,1,0.62
30,43,Y,2,3,4,0,1,0,0,1,0,0,0,0.62
32,43,Y,2,3,4,0,0,0,1,0,0,0,1,0.62
34,43,Y,2,3,4,0,0,0,1,1,0,0,1,0.62
36,43,Y,2,3,4,0,0,0,0,1,0,0,0,0.62
38,43,Y,2,3,4,0,0,0,0,1,0,0,0,0.62
40,43,Y,2,3,4,0,1,0,0,1,0,0,0,0.62
42,43,Y,2,3,4,0,1,0,0,1,0,0,0,0.62
44,43,Y,2,3,4,1,0,0,0,1,0,0,1,0.62
46,43,Y,2,3,4,0,0,0,1,0,0,0,1,0.62
48,43,Y,2,3,4,0,0,0,1,0,0,0,0,0.62
2,44,Z,2,1,4,0,0,0,0,1,0,0,0,0.98
4,44,Z,2,1,4,0,0,0,0,1,0,0,0,0.98
6,44,Z,2,1,4,0,0,0,0,1,0,0,0,0.98
8,44,Z,2,1,4,0,0,0,0,1,0,0,0,0.98
10,44,Z,2,1,4,1,0,0,0,1,0,0,0,0.98
12,44,Z,2,1,4,1,0,0,0,1,0,0,0,0.98
14,44,Z,2,1,4,0,0,0,0,1,0,0,0,0.98
16,44,Z,2,1,4,0,0,0,0,1,0,0,0,0.98
18,44,Z,2,1,4,0,0,0,0,1,0,0,0,0.98
20,44,Z,2,1,4,0,0,0,0,1,0,0,0,0.98
22,44,Z,2,1,4,1,0,0,0,1,0,0,0,0.98
24,44,Z,2,1,4,0,0,0,0,1,0,0,0,0.98
26,44,Z,2,1,4,0,0,0,0,1,0,0,0,0.98
28,44,Z,2,1,4,0,0,0,0,1,0,0,0,0.98
30,44,Z,2,1,4,0,0,0,0,1,0,0,0,0.98
32,44,Z,2,1,4,0,0,0,0,1,0,0,0,0.98
34,44,Z,2,1,4,1,0,0,0,1,0,0,0,0.98
36,44,Z,2,1,4,0,0,0,0,1,0,0,0,0.98
38,44,Z,2,1,4,0,1,0,0,1,0,0,0,0.98
40,44,Z,2,1,4,1,0,0,0,1,0,0,0,0.98
42,44,Z,2,1,4,1,0,0,0,1,0,0,0,0.98
44,44,Z,2,1,4,0,0,0,1,1,0,0,0,0.98
46,44,Z,2,1,4,1,0,0,0,1,0,0,0,0.98
2,44,Z,2,2,4,0,0,0,0,1,0,0,0,0.98
4,44,Z,2,2,4,0,0,0,0,1,0,0,0,0.98
6,44,Z,2,2,4,0,0,0,0,1,0,0,0,0.98
8,44,Z,2,2,4,0,0,0,0,1,0,0,0,0.98
10,44,Z,2,2,4,0,0,0,0,1,0,0,0,0.98
12,44,Z,2,2,4,0,0,0,0,1,0,0,0,0.98
14,44,Z,2,2,4,0,0,0,0,1,0,0,0,0.98
16,44,Z,2,2,4,0,0,0,0,1,0,0,0,0.98
18,44,Z,2,2,4,0,0,0,0,1,0,0,0,0.98
20,44,Z,2,2,4,0,1,0,0,1,0,0,0,0.98
22,44,Z,2,2,4,1,0,0,0,1,0,0,0,0.98
24,44,Z,2,2,4,0,0,0,0,1,0,0,0,0.98
26,44,Z,2,2,4,0,0,0,0,1,0,0,0,0.98
28,44,Z,2,2,4,0,0,0,0,1,0,0,0,0.98
30,44,Z,2,2,4,0,0,0,0,1,0,0,0,0.98
32,44,Z,2,2,4,0,0,0,0,1,0,0,0,0.98
34,44,Z,2,2,4,0,0,0,0,1,0,0,0,0.98
36,44,Z,2,2,4,0,0,0,0,1,0,0,0,0.98
38,44,Z,2,2,4,0,0,0,0,1,0,0,0,0.98
40,44,Z,2,2,4,1,0,0,0,1,0,0,0,0.98
42,44,Z,2,2,4,1,0,0,0,1,0,0,0,0.98
44,44,Z,2,2,4,0,0,0,0,1,0,0,0,0.98
46,44,Z,2,2,4,0,0,0,0,1,0,0,0,0.98
